Pos,Baliza1,Baliza2,Baliza3,Baliza4,Baliza5,Baliza6,Baliza7,Baliza8,Baliza9,Baliza10,Baliza11,Baliza12,Baliza13
O02,NA,NA,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA
P01,NA,NA,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA
P01,NA,NA,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA
P01,NA,NA,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA
P01,NA,NA,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA
P01,NA,NA,-82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P01,NA,NA,-80,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA
P02,NA,NA,-86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R01,NA,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA
R01,NA,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA
R01,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,NA,NA,NA
R01,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
R01,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
R02,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
R02,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
R02,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
R02,NA,NA,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA
R02,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
R02,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA
R02,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
R02,NA,NA,NA,-70,NA,NA,NA,NA,NA,NA,NA,NA,NA
R02,NA,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,NA,NA,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,NA,NA,NA,-73,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,NA,NA,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,NA,NA,NA,-79,NA,NA,NA,NA,NA,NA,NA,NA,NA
S02,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA
S02,NA,NA,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA
S02,NA,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA
